rank,host,total_wall_seconds,coarse_points,coarse_surface_elements,coarse_volume_elements,facemap_entries,physical_boundary_faces,partition_boundary_faces,local_points_before_adjacency,local_surface_elements_before_adjacency,local_volume_elements_before_adjacency,shared_vertices,adjacent_processes,vertex_send_items,vertex_receive_items,volume_send_items,volume_receive_items,local_points_after_adjacency,local_surface_elements_after_adjacency,local_volume_elements_after_adjacency,peak_rss_mib,hardware_cache_available,process_io_available
11,cn4999,37.616333244,8067,12694,26411,16427,12694,3733,88847,48128,458816,3145,3,684,2463,5924,5888,91495,48128,464704,276.9375,0,1
12,cn5000,37.649791887,8067,12694,26411,16427,12694,3733,98883,50176,516032,3793,4,3793,33,7245,7207,102102,50176,523239,279.375,0,1
13,cn5001,37.636111652,8067,12694,26411,16427,12694,3733,64149,33792,332928,10256,6,3361,6965,20202,20249,72698,33792,353177,297.390625,0,1
14,cn5002,37.653413707,8067,12694,26411,16427,12694,3733,94897,49152,493568,6042,5,2673,3369,11636,11736,99989,49152,505304,283.1328125,0,1
15,cn5003,37.647844568,8067,12694,26411,16427,12694,3733,106807,37376,585152,2673,1,0,2673,5267,5186,108983,37376,590338,348.86328125,0,1
16,cn5004,37.653065416,8067,12694,26411,16427,12694,3733,65069,40960,327296,10488,6,10405,141,20330,20378,73858,40960,347674,290.3125,0,1
17,cn5005,37.662255227,8067,12694,26411,16427,12694,3733,109925,54784,574976,3689,3,1272,2449,6942,6947,112978,54784,581923,350.12109375,0,1
18,cn5006,37.617607705,8067,12694,26411,16427,12694,3733,74431,39936,385088,4017,4,4004,32,7776,7798,77652,39936,392886,277.1640625,0,1
19,cn5007,37.648446832,8067,12694,26411,16427,12694,3733,68069,35328,353920,10256,5,4347,6035,20232,20174,76732,35328,374094,259.1796875,0,1
20,cn5008,37.636420052,8067,12694,26411,16427,12694,3733,74057,39424,383488,9265,8,6369,3026,18002,18073,81995,39424,401561,293.2734375,0,1
21,cn5009,37.647869389,8067,12694,26411,16427,12694,3733,99025,51712,514304,4817,6,2248,2618,9321,9284,103069,51712,523588,279.27734375,0,1
22,cn5010,37.626473708,8067,12694,26411,16427,12694,3733,74425,44544,377984,8041,7,3978,4140,15806,15797,81230,44544,393781,282.18359375,0,1
23,cn5011,37.617525016,8067,12694,26411,16427,12694,3733,66631,39936,338112,7993,9,4821,3351,15803,15751,73420,39936,353863,296.5859375,0,1
24,cn5012,37.582643421,8067,12694,26411,16427,12694,3733,47819,29184,241984,8833,6,6344,2630,17589,17648,55084,29184,259632,229.03125,0,1
25,cn5013,37.653005829,8067,12694,26411,16427,12694,3733,49313,29184,251008,11935,8,5542,6510,23767,23852,59251,29184,274860,270.22265625,0,1
26,cn5014,37.616582464,8067,12694,26411,16427,12694,3733,64725,35328,333952,9016,7,3175,5878,18050,17909,72172,35328,351861,266.8515625,0,1
27,cn5015,37.608074848,8067,12694,26411,16427,12694,3733,55935,33792,283584,10360,7,2141,8266,20398,20409,64490,33792,303993,264.46875,0,1
28,cn5016,37.606479874,8067,12694,26411,16427,12694,3733,53457,32256,270848,10976,11,4361,6713,21670,21736,62627,32256,292584,283.8828125,0,1
29,cn5017,37.622150634,8067,12694,26411,16427,12694,3733,72617,40960,372608,7649,5,2780,4887,15000,15035,78916,40960,387643,263.40625,0,1
30,cn5018,37.595890391,8067,12694,26411,16427,12694,3733,51627,30720,262336,9632,7,2887,6782,19160,19037,59707,30720,281373,281.9296875,0,1
31,cn5019,37.611680725,8067,12694,26411,16427,12694,3733,71473,39424,368128,7513,5,0,7513,14700,14730,77818,39424,382858,277,0,1
32,cn5020,37.618132406,8067,12694,26411,16427,12694,3733,67615,32768,355264,3033,1,3033,0,6006,5967,70099,32768,361231,260.66796875,0,1
33,cn5021,37.617864674,8067,12694,26411,16427,12694,3733,59077,33792,302464,5362,4,2363,3033,10335,10362,63713,33792,312826,258.203125,0,1
34,cn5022,37.668917701,8067,12694,26411,16427,12694,3733,78515,44032,403136,8784,10,7430,1494,17055,17058,86166,44032,420194,295.89453125,0,1
35,cn5023,37.708955702,8067,12694,26411,16427,12694,3733,99607,45056,530240,8977,9,6082,3084,17657,17630,107290,45056,547870,354.87109375,0,1
36,cn5024,37.716922522,8067,12694,26411,16427,12694,3733,86305,45568,447616,6689,8,4753,1985,12907,12888,91970,45568,460504,296.0546875,0,1
37,cn5025,37.653948786,8067,12694,26411,16427,12694,3733,56535,34816,285376,12047,12,8518,3636,23778,23747,66817,34816,309123,295.35546875,0,1
38,cn5026,37.568747202,8067,12694,26411,16427,12694,3733,62547,28672,331200,3425,1,3425,0,6788,6704,65317,28672,337904,267.26953125,0,1
39,cn5027,37.637067184,8067,12694,26411,16427,12694,3733,73463,36864,383936,6010,4,712,5314,11589,11720,78326,36864,395656,268.26171875,0,1
40,cn5028,37.648467521,8067,12694,26411,16427,12694,3733,92957,47616,484480,5073,5,4575,518,9831,9765,97357,47616,494245,270.94140625,0,1
41,cn5029,37.673447831,8067,12694,26411,16427,12694,3733,75775,40960,391616,10632,10,5903,4907,20907,20985,84682,40960,412601,300.81640625,0,1
42,cn5030,37.664396962,8067,12694,26411,16427,12694,3733,68093,39424,347904,11705,9,7776,4106,23058,23021,78017,39424,370925,278.92578125,0,1
43,cn5031,37.645558036,8067,12694,26411,16427,12694,3733,58703,36864,295360,10929,7,155,10792,21700,21735,67831,36864,317095,264.96484375,0,1
44,cn5032,37.654468413,8067,12694,26411,16427,12694,3733,96515,46592,507456,5585,5,3137,2449,10883,10802,101257,46592,518258,265.5859375,0,1
45,cn5033,37.593439278,8067,12694,26411,16427,12694,3733,81749,41984,425728,2873,4,2070,835,5401,5414,84176,41984,431142,278.7890625,0,1
46,cn5034,37.633415849,8067,12694,26411,16427,12694,3733,80501,43008,416640,7425,8,4865,2674,14499,14439,86830,43008,431079,301.0390625,0,1
47,cn5035,37.632308326,8067,12694,26411,16427,12694,3733,65351,35328,337600,10120,8,3003,7151,19804,19932,73835,35328,357532,289.66015625,0,1
48,cn5036,37.670435056,8067,12694,26411,16427,12694,3733,80323,42496,416576,8585,8,8513,175,16789,16767,87509,42496,433343,296.234375,0,1
