algorithm,timing,ranks,repeat,stage,mean_seconds,max_seconds,calls_sum
baseline,split,1024,4,partition_distribution,0.013189363468745885,0.02126585399992109,1024
baseline,split,1024,4,partition_pre_collective_wait,1.6926073019218713,1.703248806999909,1024
baseline,split,1024,4,submesh_initialization,0.00013809271582498894,0.008762142999785283,1024
baseline,split,1024,4,surface_refine,0.010241552914066254,0.013032581000061327,1024
baseline,split,1024,4,vertex_count_allgather,0.0020135285058553443,0.005355603000225528,1024
baseline,split,1024,4,vertex_count_pre_collective_wait,3.969943263733398,7.48578611100038,1024
baseline,split,1024,4,vertex_exchange,0.018945510874019522,0.03624426299984407,1024
baseline,split,1024,4,vertex_exchange_prepare,0.00034777500391580674,0.0011523749999469146,1024
baseline,split,1024,4,vertex_exchange_unpack,0.00976399010937401,0.03383395299988479,1024
baseline,split,1024,4,vertex_numbering_local,0.05894760926562892,0.12540381600001638,1024
baseline,split,1024,4,volume_exchange_pack,0.9526421360400446,1.5247364370002288,1024
baseline,split,1024,4,volume_exchange_unpack,1.0080401203134786,1.7897849769997265,1024
baseline,split,1024,4,volume_payload_exchange,0.05199244810156234,0.08748595300039597,1024
baseline,split,1024,4,volume_payload_prepare,0.0061906579941433115,0.014148019000003842,1024
baseline,split,1024,4,volume_refine,3.01941692441308,4.158483208000234,1024
baseline,split,1024,4,volume_size_exchange,0.00135451039551171,0.0036270430000513443,1024
baseline,split,1024,4,volume_size_exchange_pre_collective_wait,0.6122084342929677,1.0183609350001461,1024
baseline,split,1024,5,adjacency_build,0.009044183620119828,0.03852518699977736,1024
baseline,split,1024,5,element_count_allgather,0.001122744526352637,0.003487971000140533,1024
baseline,split,1024,5,element_count_pre_collective_wait,0.0037350807470719616,0.007033438000235037,1024
baseline,split,1024,5,face_allgatherv,0.4030434538017529,0.7033890359998622,1024
baseline,split,1024,5,face_collective_setup,0.00016686289551604006,0.0007458899999619462,1024
baseline,split,1024,5,face_global_merge,0.08869392377246443,0.11560835499994937,1024
baseline,split,1024,5,face_local_extract,0.17484150112792918,0.19359063300044,1024
baseline,split,1024,5,face_map_setup,0.0081908367617185,0.009178326999972342,1024
baseline,split,1024,5,face_pipeline_total,0.7181426548603516,1.0352238600003147,1024
baseline,split,1024,5,face_pre_collective_wait,0.03781756817773596,0.20642003000011755,1024
baseline,split,1024,5,local_volume_mesh,7.609592000966794,10.834499109999797,1024
baseline,split,1024,5,metis_partition,1.6978871710937562,1.7170032700000775,1024
baseline,split,1024,5,metis_seed,0.001231794767578176,1.2613578420000522,1
baseline,split,1024,5,part_face_create,0.023673032251944726,0.03294389399979991,1024
baseline,split,1024,5,partition_cost_balance,3.0783600585948534e-05,0.0315224070000113,1
baseline,split,1024,5,partition_cost_setup,0.0003766908867186558,0.38573146799990354,1
baseline,split,1024,5,partition_distribution,0.01782523603905739,0.03681271400000696,1024
baseline,split,1024,5,partition_pre_collective_wait,1.6782671062206944,1.6802053530000194,1024
baseline,split,1024,5,submesh_initialization,0.00013213747850127078,0.0004413450001266028,1024
baseline,split,1024,5,surface_refine,0.010263929604502842,0.013346505999834335,1024
baseline,split,1024,5,vertex_count_allgather,0.0021925556543029856,0.005384866999975202,1024
baseline,split,1024,5,vertex_count_pre_collective_wait,3.685177273231448,7.2291652019998764,1024
baseline,split,1024,5,vertex_exchange,0.019239746407231806,0.03785954699969807,1024
baseline,split,1024,5,vertex_exchange_prepare,0.00035334739452563824,0.0011298929998702079,1024
baseline,split,1024,5,vertex_exchange_unpack,0.009606865041993817,0.03410535700004402,1024
baseline,split,1024,5,vertex_numbering_local,0.0589740239482448,0.1255858370000169,1024
baseline,split,1024,5,volume_exchange_pack,0.9539548186660105,1.6058756200000062,1024
baseline,split,1024,5,volume_exchange_unpack,1.0090397624990235,1.786519199000395,1024
baseline,split,1024,5,volume_payload_exchange,0.05237714135253846,0.08833730400010609,1024
baseline,split,1024,5,volume_payload_prepare,0.00594973744434002,0.013556551999954536,1024
baseline,split,1024,5,volume_refine,3.0222111212822234,4.1510823179996805,1024
baseline,split,1024,5,volume_size_exchange,0.0020032155859377454,0.005095935000099416,1024
baseline,split,1024,5,volume_size_exchange_pre_collective_wait,0.6650141311044897,1.0789748399997734,1024
sparse,natural,1024,1,adjacency_build,0.00016762239452239314,0.0005008070002077147,1024
